~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01P200 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P220.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P210.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P200.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P220.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P210.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P200.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P390.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P360.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P330.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P120.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P060.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P290.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H23/H23P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P440.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P450.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P600.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P700.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P800.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P900.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P160.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P390.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P330.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P320.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P310.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P300.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01M500 missing from tranches, no worries
H01M400 missing from tranches, no worries
H01M300 missing from tranches, no worries
H01M200 missing from tranches, no worries
H01M100 missing from tranches, no worries
H01M000 missing from tranches, no worries
H01P000 missing from tranches, no worries
H01P010 missing from tranches, no worries
H01P020 missing from tranches, no worries
H01P030 missing from tranches, no worries
H01P040 missing from tranches, no worries
H01P050 missing from tranches, no worries
H01P060 missing from tranches, no worries
H01P070 missing from tranches, no worries
H01P080 missing from tranches, no worries
H01P090 missing from tranches, no worries
H01P100 missing from tranches, no worries
H01P110 missing from tranches, no worries
H01P120 missing from tranches, no worries
H01P130 missing from tranches, no worries
H01P140 missing from tranches, no worries
H01P150 missing from tranches, no worries
H01P160 missing from tranches, no worries
H01P170 missing from tranches, no worries
H01P180 missing from tranches, no worries
H01P190 missing from tranches, no worries
H02M500 missing from tranches, no worries
H02M400 missing from tranches, no worries
H02M300 missing from tranches, no worries
H02M200 missing from tranches, no worries
H02M100 missing from tranches, no worries
H02M000 missing from tranches, no worries
H02P000 missing from tranches, no worries
H02P010 missing from tranches, no worries
H02P020 missing from tranches, no worries
H02P030 missing from tranches, no worries
H02P040 missing from tranches, no worries
H02P050 missing from tranches, no worries
H02P060 missing from tranches, no worries
H02P070 missing from tranches, no worries
H02P080 missing from tranches, no worries
H02P090 missing from tranches, no worries
H02P100 missing from tranches, no worries
H02P110 missing from tranches, no worries
H02P120 missing from tranches, no worries
H02P130 missing from tranches, no worries
H02P140 missing from tranches, no worries
H02P150 missing from tranches, no worries
H02P160 missing from tranches, no worries
H02P170 missing from tranches, no worries
H02P180 missing from tranches, no worries
H02P190 missing from tranches, no worries
H03M500 missing from tranches, no worries
H03M400 missing from tranches, no worries
H03M300 missing from tranches, no worries
H03M200 missing from tranches, no worries
H03M100 missing from tranches, no worries
H03M000 missing from tranches, no worries
H03P000 missing from tranches, no worries
H03P010 missing from tranches, no worries
H03P020 missing from tranches, no worries
H03P030 missing from tranches, no worries
H03P040 missing from tranches, no worries
H03P050 missing from tranches, no worries
H03P060 missing from tranches, no worries
H03P070 missing from tranches, no worries
H03P080 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H03/H03P090.smi already exists
H03P100 missing from tranches, no worries
H03P110 missing from tranches, no worries
H03P120 missing from tranches, no worries
H03P130 missing from tranches, no worries
H03P140 missing from tranches, no worries
H03P150 missing from tranches, no worries
H03P160 missing from tranches, no worries
H03P170 missing from tranches, no worries
H03P180 missing from tranches, no worries
H03P190 missing from tranches, no worries
H04M500 missing from tranches, no worries
H04M400 missing from tranches, no worries
H04M300 missing from tranches, no worries
H04M200 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H04/H04M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H04/H04M000.smi already exists
H04P000 missing from tranches, no worries
H04P010 missing from tranches, no worries
H04P020 missing from tranches, no worries
H04P030 missing from tranches, no worries
H04P040 missing from tranches, no worries
H04P050 missing from tranches, no worries
H04P060 missing from tranches, no worries
H04P070 missing from tranches, no worries
H04P080 missing from tranches, no worries
H04P090 missing from tranches, no worries
H04P100 missing from tranches, no worries
H04P110 missing from tranches, no worries
H04P120 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H04/H04P130.smi already exists
H04P140 missing from tranches, no worries
H04P150 missing from tranches, no worries
H04P160 missing from tranches, no worries
H04P170 missing from tranches, no worries
H04P180 missing from tranches, no worries
H04P190 missing from tranches, no worries
H05M500 missing from tranches, no worries
H05M400 missing from tranches, no worries
H05M300 missing from tranches, no worries
H05M200 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H05/H05M000.smi already exists
H05P000 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05P010.smi already exists
H05P020 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05P030.smi already exists
H05P040 missing from tranches, no worries
H05P050 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05P060.smi already exists
H05P070 missing from tranches, no worries
H05P080 missing from tranches, no worries
H05P090 missing from tranches, no worries
H05P100 missing from tranches, no worries
H05P110 missing from tranches, no worries
H05P120 missing from tranches, no worries
H05P130 missing from tranches, no worries
H05P140 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05P150.smi already exists
H05P160 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H05/H05P170.smi already exists
H05P180 missing from tranches, no worries
H05P190 missing from tranches, no worries
H06M500 missing from tranches, no worries
H06M400 missing from tranches, no worries
H06M300 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H06/H06M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P020.smi already exists
